"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Успешное создание счёта с максимальным балансом и стандартной иконкой","tests.debit_accounts.creation","2026-09-03","broken","2026-09-03","","test_create_account_max_balance","",""
"","32965","6. Удаление дебетового счета: отмена транзакции, возврат баланса и очистка аналитики","tests.accumulation_accounts.transactions","2026-09-03","broken","2026-09-03","TestAccumulationTransfers","test_accumulation_transfers","",""
"","33616","7. Удаление накопительного счета: отмена транзакции, возврат дебетового баланса и очистка аналитики","tests.accumulation_accounts.transactions","2026-09-03","broken","2026-09-03","TestAccumulationTransfers","test_accumulation_transfers","",""
"","12940","test_user_can_login_successfully[https://frontend.qa.profinansy.dev]","tests.auth","2026-09-03","passed","2026-09-03","","test_login","",""
"","0","Успешное создание счёта без ввода начального баланса","tests.debit_accounts.creation","2026-09-03","broken","2026-09-03","","test_create_account_no_balance","",""
"Проверка регистрации через Яндекс (в новом окне)","9782","test_registration_via_yandex[https://profinansy.ru]","tests.auth","2026-09-03","passed","2026-09-03","TestWebRegistration","test_registration","",""
"WAL-T302: Регистрация через почту: ввод адреса почты с пробелом спереди","8972","test_wal_t302_email_with_leading_space[https://profinansy.ru]","tests.auth","2026-09-03","passed","2026-09-03","TestWebRegistration","test_registration","",""
"WAL-T305: Регистрация через почту: ввод адреса почты, один знак - кириллица","7771","test_wal_t305_cyrillic_email[https://frontend.qa.profinansy.dev]","tests.auth","2026-09-03","passed","2026-09-03","TestWebRegistration","test_registration","",""
"WAL-T232: Проверка регистрации через соц сети","8611","test_wal_t232_registration_via_social_networks[https://profinansy.ru]","tests.auth","2026-09-03","passed","2026-09-03","TestWebRegistration","test_registration","",""
"","33025","6. Удаление дебетового счета: отмена транзакции, возврат баланса и очистка аналитики","tests.accumulation_accounts.transactions","2026-09-03","broken","2026-09-03","TestAccumulationTransfers","test_accumulation_transfers","",""
"","22786","Проверка вёрстки пустого состояния страницы счетов по скриншоту-эталону","tests.debit_accounts.creation","2026-07-20","failed","2026-07-20","","test_account_empty_state_visual","",""
"WAL-T148: Начальная страница регистрации","7552","test_wal_t148_initial_registration_page[https://frontend.qa.profinansy.dev]","tests.auth","2026-09-03","passed","2026-09-03","TestWebRegistration","test_registration","",""
"","39392","test_required_fields_validation_on_account_creation[https://profinansy.ru]","tests.debit_accounts.creation","2026-07-20","broken","2026-07-20","","test_account_required_fields","",""
"","21116","4. Динамическое обновление сумм на карточках счетов без перезагрузки страницы после создания транзакции накопления","tests.accumulation_accounts.transactions","2026-09-03","failed","2026-09-03","TestAccumulationTransfers","test_accumulation_transfers","",""
"WAL-T304: Регистрация через почту: ввод адреса почты без @","7821","test_wal_t304_email_without_at_symbol[https://frontend.qa.profinansy.dev]","tests.auth","2026-09-03","passed","2026-09-03","TestWebRegistration","test_registration","",""
"","3875","1. Наличие вкладки 'Накопления' и проверка состава формы создания","tests.accumulation_accounts.transactions","2026-09-03","passed","2026-09-03","TestAccumulationTransfers","test_accumulation_transfers","",""
"","0","Успешное создание счёта с кастомной банковской иконкой в USD и начальным балансом","tests.debit_accounts.creation","2026-09-03","broken","2026-09-03","","test_create_account_only_with_icon","",""
"","0","Проверка вёрстки пустого состояния страницы счетов по скриншоту-эталону","tests.debit_accounts.creation","2026-09-03","broken","2026-09-03","","test_account_empty_state_visual","",""
"WAL-T301: Регистрация через почту (Позитивный сценарий)","11064","test_wal_t301_registration_flow[https://profinansy.ru]","tests.auth","2026-09-03","passed","2026-09-03","TestWebRegistration","test_registration","",""
"","1944","3. Сложная фильтрация счетов в поле 'Куда' на вкладке Накопления","tests.accumulation_accounts.transactions","2026-09-03","broken","2026-09-03","TestAccumulationTransfers","test_accumulation_transfers","",""
"WAL-T442: Регистрация через уже использованную почту","14164","test_wal_t442_already_used_email[https://frontend.qa.profinansy.dev]","tests.auth","2026-09-03","skipped","2026-09-03","TestWebRegistration","test_registration","",""
"","0","Проверка валидации обязательных полей (звёздочки и сообщения об ошибках)","tests.debit_accounts.creation","2026-09-03","broken","2026-09-03","","test_account_required_fields","",""
"","19069","5. Проверка корректности баланса 'Всего денег' без перезагрузки страницы после создания транзакции накопления","tests.accumulation_accounts.transactions","2026-09-03","passed","2026-09-03","TestAccumulationTransfers","test_accumulation_transfers","",""
