"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18857","5. Проверка корректности баланса 'Всего денег' без перезагрузки страницы после создания транзакции накопления","tests.transactions","2026-09-17","passed","2026-09-17","TestAccumulationTransfers","test_accumulation_transfers","",""
"","17715","[WAL-T519] Создание транзакции на расход с новым типом расхода","tests.transactions.expenses","2026-09-17","passed","2026-09-17","","test_create_expense_transaction_with_new_type","",""
"","1877","Проверка вёрстки пустого состояния страницы счетов по скриншоту-эталону","tests.debit_accounts.creation","2026-09-17","failed","2026-09-17","","test_account_empty_state_visual","",""
"WAL-T148: Начальная страница регистрации","8543","test_wal_t148_initial_registration_page[https://profinansy.ru]","tests.auth","2026-09-17","passed","2026-09-17","TestWebRegistration","test_registration","",""
"WAL-T442: Регистрация через уже использованную почту","16318","test_wal_t442_already_used_email[https://frontend.qa.profinansy.dev]","tests.auth","2026-09-17","skipped","2026-09-17","TestWebRegistration","test_registration","",""
"WAL-T304: Регистрация через почту: ввод адреса почты без @","9455","test_wal_t304_email_without_at_symbol[https://profinansy.ru]","tests.auth","2026-09-17","passed","2026-09-17","TestWebRegistration","test_registration","",""
"","15441","[WAL-T519] Создание транзакции на расход с новым типом расхода","tests.transactions.expenses","2026-09-17","passed","2026-09-17","","test_create_expense_transaction_with_new_type","",""
"","717","test_user_can_navigate_to_debit_accounts_and_see_empty_state[https://frontend.qa.profinansy.dev]","tests.debit_accounts.creation","2026-09-17","passed","2026-09-17","","test_empty_accounts","",""
"Проверка регистрации через Telegram","11389","test_registration_via_tg[https://frontend.qa.profinansy.dev]","tests.auth","2026-09-17","passed","2026-09-17","TestWebRegistration","test_registration","",""
"","34045","7. Удаление накопительного счета: отмена транзакции, возврат дебетового баланса и очистка аналитики","tests.transactions","2026-09-17","broken","2026-09-17","TestAccumulationTransfers","test_accumulation_transfers","",""
"","5388","Проверка валидации обязательных полей (звёздочки и сообщения об ошибках)","tests.debit_accounts.creation","2026-09-17","passed","2026-09-17","","test_account_required_fields","",""
"","19914","4. Динамическое обновление сумм на карточках счетов без перезагрузки страницы после создания транзакции накопления","tests.transactions","2026-09-17","broken","2026-09-17","TestAccumulationTransfers","test_accumulation_transfers","",""
"","12881","Успешное создание счёта с кастомной банковской иконкой в USD и начальным балансом","tests.debit_accounts.creation","2026-09-17","passed","2026-09-17","","test_create_account_only_with_icon","",""
"","33449","6. Удаление дебетового счета: отмена транзакции, возврат баланса и очистка аналитики","tests.transactions","2026-09-17","broken","2026-09-17","TestAccumulationTransfers","test_accumulation_transfers","",""
"WAL-T305: Регистрация через почту: ввод адреса почты, один знак - кириллица","10211","test_wal_t305_cyrillic_email[https://frontend.qa.profinansy.dev]","tests.auth","2026-09-17","passed","2026-09-17","TestWebRegistration","test_registration","",""
"","12563","Успешное создание счёта с кастомной банковской иконкой в USD и начальным балансом","tests.debit_accounts.creation","2026-09-17","passed","2026-09-17","","test_create_account_only_with_icon","",""
"","6497","Успешное создание счёта без ввода начального баланса","tests.debit_accounts.creation","2026-09-17","passed","2026-09-17","","test_create_account_no_balance","",""
"","7819","Успешное удаление дебетового счёта через двухэтапное подтверждение","tests.debit_accounts.creation","2026-09-17","passed","2026-09-17","","test_delete_account","",""
"WAL-T232: Проверка регистрации через соц сети","10321","test_wal_t232_registration_via_social_networks[https://frontend.qa.profinansy.dev]","tests.auth","2026-09-17","passed","2026-09-17","TestWebRegistration","test_registration","",""
"Проверка регистрации через Макс (в новой вкладке)","10233","test_registration_via_max[https://frontend.qa.profinansy.dev]","tests.auth","2026-09-17","passed","2026-09-17","TestWebRegistration","test_registration","",""
"","19944","4. Динамическое обновление сумм на карточках счетов без перезагрузки страницы после создания транзакции накопления","tests.transactions","2026-09-17","broken","2026-09-17","TestAccumulationTransfers","test_accumulation_transfers","",""
"WAL-T148: Начальная страница регистрации","8124","test_wal_t148_initial_registration_page[https://frontend.qa.profinansy.dev]","tests.auth","2026-09-17","passed","2026-09-17","TestWebRegistration","test_registration","",""
"WAL-T305: Регистрация через почту: ввод адреса почты, один знак - кириллица","7802","test_wal_t305_cyrillic_email[https://profinansy.ru]","tests.auth","2026-09-17","passed","2026-09-17","TestWebRegistration","test_registration","",""
"","5661","[WAL-T518] Проверка полей формы создания транзакции на расход и ошибки при незаполненных обязательных полях","tests.transactions.expenses","2026-09-17","passed","2026-09-17","","test_create_expense_transaction_validation","",""
"","22402","Проверка вёрстки пустого состояния страницы счетов по скриншоту-эталону","tests.debit_accounts","2026-06-29","passed","2026-06-29","","test_account_empty_state_visual","",""
"WAL-T303: Регистрация через почту: ничего не вводить в строку для ввода почты","10045","test_wal_t303_empty_email[https://profinansy.ru]","tests.auth","2026-09-17","passed","2026-09-17","TestWebRegistration","test_registration","",""
"","18880","2. Выбор любого счета (дебетового, накопительного, инвест, кредитного) в поле 'Счет списания' после клика на Все счета","tests.transactions","2026-09-17","passed","2026-09-17","TestAccumulationTransfers","test_accumulation_transfers","",""
"","5151","Проверка валидации: слишком длинное название счёта (>100 символов)","tests.debit_accounts.creation","2026-09-17","passed","2026-09-17","","test_account_name_too_long","",""
"WAL-T232: Проверка регистрации через соц сети","10724","test_wal_t232_registration_via_social_networks[https://profinansy.ru]","tests.auth","2026-09-17","passed","2026-09-17","TestWebRegistration","test_registration","",""
"","10233","Успешное создание счёта с максимальным балансом и стандартной иконкой","tests.debit_accounts.creation","2026-09-17","passed","2026-09-17","","test_create_account_max_balance","",""
"","34099","6. Удаление дебетового счета: отмена транзакции, возврат баланса и очистка аналитики","tests.transactions","2026-09-17","broken","2026-09-17","TestAccumulationTransfers","test_accumulation_transfers","",""
