"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"WAL-T305: Регистрация через почту: ввод адреса почты, один знак - кириллица","7686","test_wal_t305_cyrillic_email[https://frontend.qa.profinansy.dev]","tests.auth","2026-08-25","passed","2026-08-25","TestWebRegistration","test_registration","",""
"WAL-T442: Регистрация через уже использованную почту","13323","test_wal_t442_already_used_email[https://frontend.qa.profinansy.dev]","tests.auth","2026-08-25","skipped","2026-08-25","TestWebRegistration","test_registration","",""
"","22018","Успешное создание счёта с максимальным балансом и стандартной иконкой","tests.debit_accounts","2026-06-29","passed","2026-06-29","","test_create_account_max_balance","",""
"","0","Успешное создание счёта с максимальным балансом и стандартной иконкой","tests.debit_accounts.creation","2026-08-25","broken","2026-08-25","","test_create_account_max_balance","",""
"","12837","test_user_can_login_successfully[https://profinansy.ru]","tests.auth","2026-08-25","passed","2026-08-25","","test_login","",""
"","31341","test_user_can_navigate_to_debit_accounts_and_see_empty_state[https://profinansy.ru]","tests.debit_accounts.creation","2026-07-20","broken","2026-07-20","","test_empty_accounts","",""
"WAL-T232: Проверка регистрации через соц сети","8954","test_wal_t232_registration_via_social_networks[https://frontend.qa.profinansy.dev]","tests.auth","2026-08-25","passed","2026-08-25","TestWebRegistration","test_registration","",""
"","0","Проверка валидации: слишком длинное название счёта (>100 символов)","tests.debit_accounts.creation","2026-08-25","broken","2026-08-25","","test_account_name_too_long","",""
"Проверка регистрации через Яндекс (в новом окне)","9350","test_registration_via_yandex[https://frontend.qa.profinansy.dev]","tests.auth","2026-08-25","passed","2026-08-25","TestWebRegistration","test_registration","",""
"WAL-T304: Регистрация через почту: ввод адреса почты без @","7445","test_wal_t304_email_without_at_symbol[https://frontend.qa.profinansy.dev]","tests.auth","2026-08-25","passed","2026-08-25","TestWebRegistration","test_registration","",""
"","0","Изменение названия дебетового счета по клику на 3 точки","tests.debit_accounts.modification","2026-07-20","broken","2026-07-20","","test_change_name","",""
"WAL-T148: Начальная страница регистрации","6754","test_wal_t148_initial_registration_page[https://frontend.qa.profinansy.dev]","tests.auth","2026-08-25","passed","2026-08-25","TestWebRegistration","test_registration","",""
"","0","test_user_can_navigate_to_debit_accounts_and_see_empty_state","tests.debit_accounts.creation","2026-08-25","broken","2026-08-25","","test_empty_accounts","",""
"","0","Изменение названия дебетового счета по клику на 3 точки","tests.debit_accounts.modification","2026-08-25","broken","2026-08-25","","test_change_name","",""
"","22402","Проверка вёрстки пустого состояния страницы счетов по скриншоту-эталону","tests.debit_accounts","2026-06-29","passed","2026-06-29","","test_account_empty_state_visual","",""
