"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"WAL-T302: Регистрация через почту: ввод адреса почты с пробелом спереди","9241","test_wal_t302_email_with_leading_space[https://frontend.qa.profinansy.dev]","tests.auth","2026-08-25","passed","2026-08-25","TestWebRegistration","test_registration","",""
"WAL-T301: Регистрация через почту (Позитивный сценарий)","12038","test_wal_t301_registration_flow[https://profinansy.ru]","tests.auth","2026-08-25","passed","2026-08-25","TestWebRegistration","test_registration","",""
"","0","Изменение названия дебетового счета по клику на 3 точки","tests.debit_accounts.modification","2026-07-20","broken","2026-07-20","","test_change_name","",""
"WAL-T301: Регистрация через почту (Позитивный сценарий)","9648","test_wal_t301_registration_flow[https://frontend.qa.profinansy.dev]","tests.auth","2026-08-25","passed","2026-08-25","TestWebRegistration","test_registration","",""
"","0","Проверка валидации: слишком длинное название счёта (>100 символов)","tests.debit_accounts.creation","2026-08-25","broken","2026-08-25","","test_account_name_too_long","",""
"","36432","Успешное создание счёта с максимальным балансом и стандартной иконкой","tests.debit_accounts.creation","2026-07-20","broken","2026-07-20","","test_create_account_max_balance","",""
"Проверка регистрации через Яндекс (в новом окне)","9529","test_registration_via_yandex[https://frontend.qa.profinansy.dev]","tests.auth","2026-08-25","passed","2026-08-25","TestWebRegistration","test_registration","",""
"WAL-T304: Регистрация через почту: ввод адреса почты без @","8481","test_wal_t304_email_without_at_symbol[https://profinansy.ru]","tests.auth","2026-08-25","passed","2026-08-25","TestWebRegistration","test_registration","",""
"WAL-T303: Регистрация через почту: ничего не вводить в строку для ввода почты","8016","test_wal_t303_empty_email[https://frontend.qa.profinansy.dev]","tests.auth","2026-08-25","passed","2026-08-25","TestWebRegistration","test_registration","",""
"","39392","test_required_fields_validation_on_account_creation[https://profinansy.ru]","tests.debit_accounts.creation","2026-07-20","broken","2026-07-20","","test_account_required_fields","",""
"WAL-T148: Начальная страница регистрации","8084","test_wal_t148_initial_registration_page[https://profinansy.ru]","tests.auth","2026-08-25","passed","2026-08-25","TestWebRegistration","test_registration","",""
"WAL-T305: Регистрация через почту: ввод адреса почты, один знак - кириллица","7780","test_wal_t305_cyrillic_email[https://frontend.qa.profinansy.dev]","tests.auth","2026-08-25","passed","2026-08-25","TestWebRegistration","test_registration","",""
"WAL-T442: Регистрация через уже использованную почту","14781","test_wal_t442_already_used_email[https://profinansy.ru]","tests.auth","2026-08-25","skipped","2026-08-25","TestWebRegistration","test_registration","",""
"","22786","Проверка вёрстки пустого состояния страницы счетов по скриншоту-эталону","tests.debit_accounts.creation","2026-07-20","failed","2026-07-20","","test_account_empty_state_visual","",""
"","12289","test_user_can_login_successfully[https://frontend.qa.profinansy.dev]","tests.auth","2026-08-25","passed","2026-08-25","","test_login","",""
"","0","Успешное создание счёта с кастомной банковской иконкой в USD и начальным балансом","tests.debit_accounts.creation","2026-08-25","broken","2026-08-25","","test_create_account_only_with_icon","",""
"","34761","Успешное создание счёта с кастомной банковской иконкой в USD и начальным балансом","tests.debit_accounts.creation","2026-07-20","broken","2026-07-20","","test_create_account_only_with_icon","",""
"WAL-T442: Регистрация через уже использованную почту","13251","test_wal_t442_already_used_email[https://frontend.qa.profinansy.dev]","tests.auth","2026-08-25","skipped","2026-08-25","TestWebRegistration","test_registration","",""
"Проверка регистрации через Яндекс (в новом окне)","13626","test_registration_via_yandex[https://profinansy.ru]","tests.auth","2026-08-25","passed","2026-08-25","TestWebRegistration","test_registration","",""
"","0","Проверка вёрстки пустого состояния страницы счетов по скриншоту-эталону","tests.debit_accounts.creation","2026-08-25","broken","2026-08-25","","test_account_empty_state_visual","",""
"","34068","test_user_can_login_successfully[https://profinansy.ru]","tests.auth","2026-08-25","passed","2026-08-25","","test_login","",""
"","0","Успешное удаление дебетового счёта через двухэтапное подтверждение","tests.debit_accounts.creation","2026-08-25","broken","2026-08-25","","test_delete_account","",""
"Проверка регистрации через Telegram","12198","test_registration_via_tg[https://profinansy.ru]","tests.auth","2026-08-25","passed","2026-08-25","TestWebRegistration","test_registration","",""
"WAL-T303: Регистрация через почту: ничего не вводить в строку для ввода почты","8532","test_wal_t303_empty_email[https://profinansy.ru]","tests.auth","2026-08-25","passed","2026-08-25","TestWebRegistration","test_registration","",""
