"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"WAL-T301: Регистрация через почту (Позитивный сценарий)","120051","test_wal_t301_registration_flow[https://qa.profinansy.dev]","tests.auth","2026-08-24","broken","2026-08-24","TestWebRegistration","test_registration","",""
"","21587","Успешное создание счёта с кастомной банковской иконкой в USD и начальным балансом","tests.debit_accounts.creation","2026-08-24","passed","2026-08-24","","test_create_account_only_with_icon","",""
"","27625","test_user_can_navigate_to_debit_accounts_and_see_empty_state[https://profinansy.ru]","tests.debit_accounts.creation","2026-08-24","passed","2026-08-24","","test_empty_accounts","",""
"","12096","Проверка валидации обязательных полей (звёздочки и сообщения об ошибках)","tests.debit_accounts.creation","2026-08-24","passed","2026-08-24","","test_account_required_fields","",""
"Проверка регистрации через Макс (в новой вкладке)","11074","test_registration_via_max[https://profinansy.ru]","tests.auth","2026-08-24","passed","2026-08-24","TestWebRegistration","test_registration","",""
"","0","Изменение названия дебетового счета по клику на 3 точки","tests.debit_accounts.modification","2026-08-24","broken","2026-08-24","","test_change_name","",""
"Проверка регистрации через Telegram","10880","test_registration_via_tg[https://qa.profinansy.dev]","tests.auth","2026-08-24","passed","2026-08-24","TestWebRegistration","test_registration","",""
"","25305","Успешное создание счёта с максимальным балансом и стандартной иконкой","tests.debit_accounts.creation","2026-08-24","passed","2026-08-24","","test_create_account_max_balance","",""
"Проверка регистрации через Яндекс (в новом окне)","11997","test_registration_via_yandex[https://profinansy.ru]","tests.auth","2026-08-24","passed","2026-08-24","TestWebRegistration","test_registration","",""
"WAL-T302: Регистрация через почту: ввод адреса почты с пробелом спереди","9381","test_wal_t302_email_with_leading_space[https://qa.profinansy.dev]","tests.auth","2026-08-24","passed","2026-08-24","TestWebRegistration","test_registration","",""
"","0","Проверка вёрстки пустого состояния страницы счетов по скриншоту-эталону","tests.debit_accounts.creation","2026-08-24","broken","2026-08-24","","test_account_empty_state_visual","",""
"","5126","Успешное удаление дебетового счёта через двухэтапное подтверждение","tests.debit_accounts.creation","2026-08-24","passed","2026-08-24","","test_delete_account","",""
"","0","Успешное создание счёта с максимальным балансом и стандартной иконкой","tests.debit_accounts.creation","2026-08-24","broken","2026-08-24","","test_create_account_max_balance","",""
"WAL-T232: Проверка регистрации через соц сети","12190","test_wal_t232_registration_via_social_networks[https://profinansy.ru]","tests.auth","2026-08-24","passed","2026-08-24","TestWebRegistration","test_registration","",""
"WAL-T148: Начальная страница регистрации","9399","test_wal_t148_initial_registration_page[https://profinansy.ru]","tests.auth","2026-08-24","passed","2026-08-24","TestWebRegistration","test_registration","",""
"WAL-T305: Регистрация через почту: ввод адреса почты, один знак - кириллица","9747","test_wal_t305_cyrillic_email[https://qa.profinansy.dev]","tests.auth","2026-08-24","passed","2026-08-24","TestWebRegistration","test_registration","",""
"","12792","Проверка валидации: слишком длинное название счёта (>100 символов)","tests.debit_accounts.creation","2026-08-24","passed","2026-08-24","","test_account_name_too_long","",""
