"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"WAL-T303: Регистрация через почту: ничего не вводить в строку для ввода почты","9919","test_wal_t303_empty_email[https://profinansy.ru]","tests.auth","2026-08-23","passed","2026-08-23","TestWebRegistration","test_registration","",""
"WAL-T232: Проверка регистрации через соц сети","12740","test_wal_t232_registration_via_social_networks[https://profinansy.ru]","tests.auth","2026-08-23","passed","2026-08-23","TestWebRegistration","test_registration","",""
"WAL-T442: Регистрация через уже использованную почту","13107","test_wal_t442_already_used_email[https://profinansy.ru]","tests.auth","2026-08-23","skipped","2026-08-23","TestWebRegistration","test_registration","",""
"","4624","Успешное удаление дебетового счёта через двухэтапное подтверждение","tests.debit_accounts.creation","2026-08-23","passed","2026-08-23","","test_delete_account","",""
"","6513","Проверка вёрстки пустого состояния страницы счетов по скриншоту-эталону","tests.debit_accounts.creation","2026-08-23","failed","2026-08-23","","test_account_empty_state_visual","",""
"","17509","Успешное создание счёта с кастомной банковской иконкой в USD и начальным балансом","tests.debit_accounts.creation","2026-08-23","passed","2026-08-23","","test_create_account_only_with_icon","",""
"Проверка регистрации через Telegram","11386","test_registration_via_tg[https://profinansy.ru]","tests.auth","2026-08-23","passed","2026-08-23","TestWebRegistration","test_registration","",""
"WAL-T301: Регистрация через почту (Позитивный сценарий)","11979","test_wal_t301_registration_flow[https://profinansy.ru]","tests.auth","2026-08-23","passed","2026-08-23","TestWebRegistration","test_registration","",""
"","22402","Проверка вёрстки пустого состояния страницы счетов по скриншоту-эталону","tests.debit_accounts","2026-06-29","passed","2026-06-29","","test_account_empty_state_visual","",""
"","6486","Изменение названия дебетового счета по клику на 3 точки","tests.debit_accounts.modification","2026-08-23","passed","2026-08-23","","test_change_name","",""
"","14701","test_user_can_login_successfully[https://profinansy.ru]","tests.auth","2026-08-23","passed","2026-08-23","","test_login","",""
"","22316","Успешное создание счёта с максимальным балансом и стандартной иконкой","tests.debit_accounts.creation","2026-08-23","passed","2026-08-23","","test_create_account_max_balance","",""
"","5706","test_user_can_navigate_to_debit_accounts_and_see_empty_state[https://profinansy.ru]","tests.debit_accounts.creation","2026-08-23","passed","2026-08-23","","test_empty_accounts","",""
"","9298","Проверка валидации: слишком длинное название счёта (>100 символов)","tests.debit_accounts.creation","2026-08-23","passed","2026-08-23","","test_account_name_too_long","",""
"Проверка регистрации через Макс (в новой вкладке)","11531","test_registration_via_max[https://profinansy.ru]","tests.auth","2026-08-23","passed","2026-08-23","TestWebRegistration","test_registration","",""
"WAL-T305: Регистрация через почту: ввод адреса почты, один знак - кириллица","10112","test_wal_t305_cyrillic_email[https://profinansy.ru]","tests.auth","2026-08-23","passed","2026-08-23","TestWebRegistration","test_registration","",""
"Проверка регистрации через Яндекс (в новом окне)","12939","test_registration_via_yandex[https://profinansy.ru]","tests.auth","2026-08-23","passed","2026-08-23","TestWebRegistration","test_registration","",""
"","9100","Проверка валидации обязательных полей (звёздочки и сообщения об ошибках)","tests.debit_accounts.creation","2026-08-23","passed","2026-08-23","","test_account_required_fields","",""
"","10403","Успешное создание счёта без ввода начального баланса","tests.debit_accounts.creation","2026-08-23","passed","2026-08-23","","test_create_account_no_balance","",""
"WAL-T304: Регистрация через почту: ввод адреса почты без @","10038","test_wal_t304_email_without_at_symbol[https://profinansy.ru]","tests.auth","2026-08-23","passed","2026-08-23","TestWebRegistration","test_registration","",""
"","22018","Успешное создание счёта с максимальным балансом и стандартной иконкой","tests.debit_accounts","2026-06-29","passed","2026-06-29","","test_create_account_max_balance","",""
"WAL-T302: Регистрация через почту: ввод адреса почты с пробелом спереди","9944","test_wal_t302_email_with_leading_space[https://profinansy.ru]","tests.auth","2026-08-23","passed","2026-08-23","TestWebRegistration","test_registration","",""
"WAL-T148: Начальная страница регистрации","9700","test_wal_t148_initial_registration_page[https://profinansy.ru]","tests.auth","2026-08-23","passed","2026-08-23","TestWebRegistration","test_registration","",""
