"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Изменение названия дебетового счета по клику на 3 точки","tests.debit_accounts.modification","2026-09-03","broken","2026-09-03","","test_change_name","",""
"","0","Успешное создание счёта без ввода начального баланса","tests.debit_accounts.creation","2026-09-03","broken","2026-09-03","","test_create_account_no_balance","",""
"","31341","test_user_can_navigate_to_debit_accounts_and_see_empty_state[https://profinansy.ru]","tests.debit_accounts.creation","2026-07-20","broken","2026-07-20","","test_empty_accounts","",""
"","16494","test_user_can_login_successfully[https://profinansy.ru]","tests.auth","2026-09-03","passed","2026-09-03","","test_login","",""
"","34500","6. Удаление дебетового счета: отмена транзакции, возврат баланса и очистка аналитики","tests.accumulation_accounts.transactions","2026-09-03","broken","2026-09-03","TestAccumulationTransfers","test_accumulation_transfers","",""
"","0","Успешное создание счёта без ввода начального баланса","tests.debit_accounts.creation","2026-09-03","broken","2026-09-03","","test_create_account_no_balance","",""
"WAL-T148: Начальная страница регистрации","7421","test_wal_t148_initial_registration_page[https://profinansy.ru]","tests.auth","2026-09-03","passed","2026-09-03","TestWebRegistration","test_registration","",""
"","0","Успешное создание счёта с максимальным балансом и стандартной иконкой","tests.debit_accounts.creation","2026-09-03","broken","2026-09-03","","test_create_account_max_balance","",""
"","0","Успешное удаление дебетового счёта через двухэтапное подтверждение","tests.debit_accounts.creation","2026-07-20","broken","2026-07-20","","test_delete_account","",""
"Проверка регистрации через Макс (в новой вкладке)","9165","test_registration_via_max[https://frontend.qa.profinansy.dev]","tests.auth","2026-09-03","passed","2026-09-03","TestWebRegistration","test_registration","",""
"WAL-T303: Регистрация через почту: ничего не вводить в строку для ввода почты","8787","test_wal_t303_empty_email[https://frontend.qa.profinansy.dev]","tests.auth","2026-09-03","passed","2026-09-03","TestWebRegistration","test_registration","",""
"","32818","6. Удаление дебетового счета: отмена транзакции, возврат баланса и очистка аналитики","tests.accumulation_accounts.transactions","2026-09-03","broken","2026-09-03","TestAccumulationTransfers","test_accumulation_transfers","",""
"","39392","test_required_fields_validation_on_account_creation[https://profinansy.ru]","tests.debit_accounts.creation","2026-07-20","broken","2026-07-20","","test_account_required_fields","",""
"","0","Проверка валидации: слишком длинное название счёта (>100 символов)","tests.debit_accounts.creation","2026-09-03","broken","2026-09-03","","test_account_name_too_long","",""
